WorkoutType;WorkoutDay;Distance in km;PowerAverage;PowerMax;time;HeartRateAverage;HeartRateMax;TSS;HRZone1Minutes;HRZone2Minutes;HRZone3Minutes;HRZone4Minutes;HRZone5Minutes;PWRZone1Minutes;PWRZone2Minutes;PWRZone3Minutes;PWRZone4Minutes;PWRZone5Minutes;PWRZone6Minutes;time_standardized
Bike;2023-07-28;32,25396094;169;1327;02:02:34;122;161;147,1;26;86;10;2;0;51;29;24;11;3;4;02:02:00
Run;2023-07-28;4,518620117;;;00:24:21;140;162;38,75;0;11;11;2;0;;;;;;;00:24:00
Bike;2023-07-29;57,04296875;157;1062;04:00:01;120;146;209,78;55;183;3;0;0;104;43;47;31;9;6;04:00:00
Bike;2023-07-30;50,90507031;165;1241;02:56:18;122;172;260,92;36;130;5;3;3;72;38;40;14;4;9;02:56:00
MTB;2023-07-30;13,97324023;93;840;01:02:17;111;139;30,65;24;38;0;0;0;44;9;4;2;1;2;01:02:00
Day Off;2023-07-31;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-07-31;9,15794043;43;612;00:31:09;;;14,43;;;;;;28;2;0;0;0;1;00:31:00
Bike;2023-08-01;38,80628125;155;1254;02:35:11;123;159;193,42;34;105;14;3;0;69;30;34;13;4;5;02:35:00
Run;2023-08-01;5,791680176;;;00:42:26;132;152;48,44;3;22;17;0;0;;;;;;;00:42:00
Run;2023-08-02;0;;;00:30:00;;;;;;;;;;;;;;;00:30:00
Bike;2023-08-02;39,83392188;146;777;02:50:18;120;150;150,41;43;120;8;0;0;78;28;28;24;9;3;02:50:00
Bike;2023-08-03;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Bike;2023-08-03;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-08-03;39,48662109;143;867;02:16:09;122;174;228,22;34;88;5;6;4;69;31;21;6;1;9;02:16:00
Run;2023-08-05;10,05886035;;;01:05:51;127;161;84,85;6;50;10;1;0;;;;;;;01:05:00
Bike;2023-08-06;34,925;;;02:14:24;118;144;92,74;27;107;0;0;0;;;;;;;02:14:00
MTB;2023-08-07;26,06771094;182;1038;01:30:46;130;168;105,07;12;48;27;4;1;38;14;12;10;6;11;01:30:00
MTB;2023-08-08;21,6394707;204;1260;01:19:53;143;172;131,67;3;24;31;20;2;35;9;7;7;6;15;01:19:00
MTB;2023-08-09;5,625839844;218;607;00:31:54;137;167;44,32;2;16;11;3;0;8;7;6;5;3;3;00:31:00
MTB;2023-08-09;3,321969971;285;1617;00:11:20;169;179;38,82;0;0;0;0;11;5;1;0;0;0;5;00:11:00
MTB;2023-08-10;20,63739063;172;1271;01:09:25;130;163;69,33;8;35;23;4;0;31;13;8;6;5;6;01:09:00
MTB;2023-08-21;21,57453906;139;548;01:30:14;120;147;56,01;22;67;1;0;0;38;42;8;1;0;0;01:30:00
